Expression: ^\d+::([\w\s:,\.\(\)'\-\/!&ÁÉÍÓÚáéíóúäëïöü]+)\s(\(\d\d\d\d\))::.*$
{title: In Old Chicago, year: (1937)}
{title: Family Guy Presents: Stewie Griffin - The Untold Story, year: (2005)}
{title: Revenge of the Ninja, year: (1983)}
{title: Go West, year: (1940)}
{title: Why We Fight, year: (2005)}
{title: Gertrud, year: (1964)}
{title: Come Drink with Me (Da zui xia), year: (1966)}
{title: Doom, year: (2005)}
{title: Domino, year: (2005)}
{title: Waiting..., year: (2005)}
{title: Aeon Flux, year: (2005)}
{title: Unfinished Life, An, year: (2005)}
{title: Man, The, year: (2005)}
{title: Woyzeck, year: (1979)}
{title: Exorcism of Emily Rose, The, year: (2005)}
{title: Flightplan, year: (2005)}
{title: Corpse Bride, year: (2005)}
{title: Hooligans (a.k.a. Green Street Hooligans), year: (2005)}
{title: History of Violence, A, year: (2005)}
{title: Oliver Twist, year: (2005)}
{title: Greatest Game Ever Played, The, year: (2005)}
{title: Capote, year: (2005)}
{title: Final Fantasy VII: Advent Children, year: (2004)}
37837::Côte d'Azur (Crustacés et coquillages) (2005)::Comedy|Musical|Romance
{title: Roll Bounce, year: (2005)}
{title: Daltry Calhoun, year: (2005)}
{title: Into the Blue, year: (2005)}
{title: Prize Winner of Defiance Ohio, The, year: (2005)}
{title: MirrorMask, year: (2005)}
{title: Innocence, year: (2004)}
{title: 4, year: (2005)}
{title: Flowers of St. Francis (Francesco, giullare di Dio), year: (1950)}
{title: Wallace & Gromit: The Curse of the Were-Rabbit, year: (2005)}
{title: Kiss Kiss Bang Bang, year: (2005)}
{title: Bittersweet Life, A (Dalkomhan insaeng), year: (2005)}
{title: Bubble, year: (2006)}
{title: Darwin's Nightmare, year: (2004)}
{title: Beowulf & Grendel, year: (2005)}
{title: No Direction Home: Bob Dylan, year: (2005)}
38320::Valerie and Her Week of Wonders (Valerie a týden divu) (1970)::Fantasy|Horror
{title: Goal!, year: (2005)}
{title: Forty Shades of Blue, year: (2005)}
{title: Angels in America, year: (2003)}
{title: Factotum, year: (2005)}
{title: Don't Come Knocking, year: (2005)}
{title: In Her Shoes, year: (2005)}
{title: Mother of Mine (Äideistä parhain), year: (2005)}
{title: 55 Days at Peking, year: (1963)}
{title: Squid and the Whale, The, year: (2005)}
{title: Two for the Money, year: (2005)}
{title: Separate Lies, year: (2005)}
{title: Star Wreck: In the Pirkinning, year: (2005)}
{title: Brokeback Mountain, year: (2005)}
{title: Elizabethtown, year: (2005)}
{title: North Country, year: (2005)}
{title: Good Night, and Good Luck., year: (2005)}
{title: Dreamer: Inspired by a True Story, year: (2005)}
{title: Detective Story, year: (1951)}
{title: Proposition, The, year: (2005)}
{title: Gospel, The, year: (2005)}
{title: Dandelion, year: (2004)}
{title: C.S.A.: The Confederate States of America, year: (2004)}
{title: Fog, The, year: (2005)}
{title: Loggerheads, year: (2005)}
{title: Left Behind: World at War, year: (2005)}
{title: Protocols of Zion, year: (2005)}
{title: Living 'til the End, year: (2005)}
{title: Shopgirl, year: (2005)}
{title: Kids in America, year: (2005)}
{title: Where the Truth Lies, year: (2005)}
{title: After School Special (a.k.a. Barely Legal), year: (2003)}
{title: Emmanuel's Gift, year: (2005)}
{title: Stay, year: (2005)}
{title: Confess, year: (2005)}
{title: Legend of Zorro, The, year: (2005)}
{title: God's Sandbox (Tahara), year: (2002)}
{title: New York Doll, year: (2005)}
{title: Weather Man, The, year: (2005)}
{title: Saw II, year: (2005)}
{title: Prime, year: (2005)}
{title: One Wonderful Sunday (Subarashiki nichiyobi), year: (1947)}
{title: Teorema, year: (1968)}
{title: Little Fish, year: (2005)}
{title: American Pie Presents Band Camp, year: (2005)}
{title: Life is a Miracle (Zivot je cudo), year: (2004)}
{title: Manderlay, year: (2005)}
{title: Nine Lives, year: (2005)}
{title: South Central, year: (1992)}
{title: Duck Season (Temporada de patos), year: (2004)}
{title: Revolver, year: (2005)}
{title: Jarhead, year: (2005)}
{title: Usphizin, year: (2004)}
{title: Chicken Little, year: (2005)}
{title: Dead Man's Shoes, year: (2004)}
{title: Merry Christmas (Joyeux Noël), year: (2005)}
{title: Match Factory Girl, The (Tulitikkutehtaan tyttö), year: (1990)}
{title: Zombie and the Ghost Train (Zombie ja Kummitusjuna), year: (1991)}
{title: Get Rich or Die Tryin', year: (2005)}
{title: Just Friends, year: (2005)}
{title: Syriana, year: (2005)}
{title: Calamari Union, year: (1985)}
{title: Derailed, year: (2005)}
{title: Pride & Prejudice, year: (2005)}
{title: Wolf Creek, year: (2005)}
{title: Descent, The, year: (2005)}
{title: Takeshis', year: (2005)}
{title: Harry Potter and the Goblet of Fire, year: (2005)}
{title: Dinner with Friends, year: (2001)}
{title: Walk the Line, year: (2005)}
{title: Rent, year: (2005)}
{title: Fists in the Pocket (I Pugni in tasca), year: (1965)}
{title: Zathura, year: (2005)}
{title: C.R.A.Z.Y., year: (2005)}
{title: Lonesome Jim, year: (2005)}
{title: Sarah Silverman: Jesus Is Magic, year: (2005)}
{title: Bee Season, year: (2005)}
{title: Breakfast on Pluto, year: (2005)}
{title: Ice Harvest, The, year: (2005)}
{title: Yours, Mine and Ours, year: (2005)}
{title: In the Mix, year: (2005)}
{title: Libertine, The, year: (2004)}
{title: First Descent, year: (2005)}
{title: Wild Geese, The, year: (1978)}
{title: Hondo, year: (1953)}
{title: Bird with the Crystal Plumage, The (L'Uccello dalle piume di cristallo), year: (1970)}
{title: Good Woman, A, year: (2004)}
{title: Driver, The, year: (1978)}
{title: Match Point, year: (2005)}
{title: Nazarín, year: (1959)}
{title: Deep, The, year: (1977)}
{title: Dying Gaul, The, year: (2005)}
{title: Paradise Now, year: (2005)}
{title: Kid & I, The, year: (2005)}
{title: Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The, year: (2005)}
{title: King Kong, year: (2005)}
{title: Memoirs of a Geisha, year: (2005)}
{title: Family Stone, The, year: (2005)}
{title: Promise, The (Wu ji), year: (2005)}
{title: Kiss of Death, year: (1947)}
{title: Havoc, year: (2005)}
41627::Samurai Rebellion (Jôi-uchi: Hairyô tsuma shimatsu) (1967)::Action|Drama
{title: Ivan the Terrible, Part Two (Ivan Groznyy II: Boyarsky zagovor), year: (1958)}
{title: Matador, The, year: (2005)}
{title: Look Both Ways, year: (2005)}
{title: Mozart and the Whale, year: (2005)}
{title: They Died with Their Boots On, year: (1941)}
{title: Three Burials of Melquiades Estrada, The, year: (2006)}
{title: Munich, year: (2005)}
{title: Producers, The, year: (2005)}
{title: Transamerica, year: (2005)}
{title: Rumor Has It..., year: (2005)}
{title: Cheaper by the Dozen 2, year: (2005)}
{title: Fun with Dick and Jane, year: (2005)}
{title: Ringer, The, year: (2005)}
{title: Casanova, year: (2005)}
{title: Mrs. Henderson Presents, year: (2005)}
{title: White Countess, The, year: (2005)}
{title: Dirty Love, year: (2005)}
{title: Spirit of the Beehive, The (Espíritu de la colmena, El), year: (1973)}
{title: Keeping Mum, year: (2005)}
{title: Goodnight, Mister Tom, year: (1999)}
{title: Late Spring (Banshun), year: (1949)}
{title: New World, The, year: (2005)}
{title: 7 Faces of Dr. Lao, year: (1964)}
{title: Boys of Baraka, The, year: (2005)}
{title: Sympathy for Lady Vengeance (Chinjeolhan geumjassi), year: (2005)}
{title: Boys Don't Cry (Chlopaki nie placza), year: (2000)}
{title: 49th Parallel, year: (1941)}
{title: District B13 (Banlieue 13), year: (2004)}
{title: BloodRayne, year: (2005)}
{title: Hostel, year: (2005)}
{title: Grandma's Boy, year: (2006)}
{title: Tristan & Isolde, year: (2006)}
{title: Glory Road, year: (2006)}
{title: Last Holiday, year: (2006)}
{title: Hoodwinked, year: (2006)}
{title: April's Shower, year: (2003)}
{title: Underworld: Evolution, year: (2006)}
{title: Looking for Comedy in the Muslim World, year: (2005)}
{title: Shadows of Forgotten Ancestors, year: (1964)}
{title: Cul-de-sac, year: (1966)}
{title: Vinci, year: (2004)}
{title: Dunwich Horror, The, year: (1970)}
{title: Water, year: (2005)}
{title: Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage), year: (2005)}
{title: Matti: Hell Is for Heroes (Matti), year: (2006)}
{title: World's Fastest Indian, The, year: (2005)}
{title: Bandidas, year: (2006)}
{title: Tristram Shandy: A Cock and Bull Story, year: (2005)}
{title: Annapolis, year: (2006)}
{title: Big Momma's House 2, year: (2006)}
{title: Nanny McPhee, year: (2005)}
{title: Final Destination 3, year: (2006)}
{title: Something New, year: (2006)}
{title: Block Party (a.k.a. Dave Chappelle's Block Party), year: (2005)}
{title: Madame Curie, year: (1943)}
{title: Imagine Me & You, year: (2005)}
{title: Pink Panther, The, year: (2006)}
{title: Business, The, year: (2005)}
{title: Curious George, year: (2006)}
{title: Firewall, year: (2006)}
{title: Tony Takitani, year: (2004)}
{title: When a Stranger Calls, year: (2006)}
{title: Tamara, year: (2005)}
{title: London, year: (2005)}
{title: Neil Young: Heart of Gold, year: (2006)}
{title: Freedomland, year: (2006)}
{title: Winter Passing, year: (2005)}
{title: Eight Below, year: (2006)}
{title: Date Movie, year: (2006)}
{title: Running Scared, year: (2006)}
{title: Madea's Family Reunion, year: (2006)}
{title: Doogal, year: (2006)}
{title: Ultraviolet, year: (2006)}
{title: Just My Luck, year: (2006)}
{title: Pulse, year: (2006)}
{title: Deep Sea 3D, year: (2006)}
{title: 16 Blocks, year: (2006)}
{title: Half Light, year: (2006)}
{title: Failure to Launch, year: (2006)}
{title: Ice Age 2: The Meltdown, year: (2006)}
{title: Big White, The, year: (2005)}
{title: Stromboli, year: (1950)}
{title: Free Zone, year: (2005)}
{title: Naked Spur, The, year: (1953)}
{title: Ask the Dust, year: (2006)}
{title: V for Vendetta, year: (2006)}
{title: She's the Man, year: (2006)}
{title: Thank You for Smoking, year: (2006)}
{title: Find Me Guilty, year: (2006)}
{title: Inside Man, year: (2006)}
{title: Tsotsi, year: (2005)}
{title: Aquamarine, year: (2006)}
{title: Leprechaun 2, year: (1994)}
{title: Lights in the Dusk (Laitakaupungin valot), year: (2006)}
{title: Hills Have Eyes, The, year: (2006)}
{title: Shaggy Dog, The, year: (2006)}
{title: Son of the Pink Panther, year: (1993)}
{title: Unknown White Male, year: (2005)}
{title: Lives of Others, The (Das Leben der Anderen), year: (2006)}
{title: Nanook of the North, year: (1922)}
{title: Resurrection, year: (1980)}
{title: Take the Lead, year: (2006)}
{title: Devil and Daniel Johnston, The, year: (2005)}
{title: Money (Argent, L'), year: (1983)}
{title: Mouchette, year: (1967)}
{title: Lucky Number Slevin, year: (2006)}
{title: Volver, year: (2006)}
{title: Akeelah and the Bee, year: (2006)}
{title: Larry the Cable Guy: Health Inspector, year: (2006)}
{title: Stay Alive, year: (2006)}
{title: Basic Instinct 2, year: (2006)}
{title: Brick, year: (2005)}
{title: Evil Aliens, year: (2005)}
{title: This Film Is Not Yet Rated, year: (2006)}
{title: ATL, year: (2006)}
{title: Slither, year: (2006)}
{title: Benchwarmers, The, year: (2006)}
{title: Phat Girlz, year: (2006)}
{title: Renaissance, year: (2006)}
{title: Friends with Money, year: (2006)}
{title: Reefer Madness: The Movie Musical, year: (2005)}
{title: Magic, year: (1978)}
{title: Candy, year: (2006)}
{title: Child, The (L'Enfant), year: (2005)}
{title: Hoot, year: (2006)}
{title: Scary Movie 4, year: (2006)}
{title: Hard Candy, year: (2005)}
{title: Dead Birds, year: (2004)}
{title: Prairie Home Companion, A, year: (2006)}
{title: Sentinel, The, year: (2006)}
{title: Wild, The, year: (2006)}
{title: Silent Hill, year: (2006)}
{title: American Dreamz, year: (2006)}
{title: Kinky Boots, year: (2005)}
{title: Protector, The (a.k.a. Warrior King) (Tom Yum Goong), year: (2005)}
{title: Mission: Impossible III, year: (2006)}
{title: RV, year: (2006)}
{title: United 93, year: (2006)}
{title: Stick It, year: (2006)}
{title: Footlight Parade, year: (1933)}
{title: American Haunting, An, year: (2005)}
{title: Down in the Valley, year: (2005)}
{title: Hidden Blade, The (Kakushi ken oni no tsume), year: (2004)}
{title: Over the Hedge, year: (2006)}
{title: Art School Confidential, year: (2006)}
{title: Poseidon, year: (2006)}
{title: Da Vinci Code, The, year: (2006)}
{title: X-Men: The Last Stand, year: (2006)}
{title: Break-Up, The, year: (2006)}
{title: Peaceful Warrior, year: (2006)}
{title: Cars, year: (2006)}
{title: Lost City, The, year: (2005)}
{title: Vera Cruz, year: (1954)}
{title: Notorious Bettie Page, The, year: (2005)}
{title: On a Clear Day, year: (2005)}
{title: Omen, The, year: (2006)}
{title: King, The, year: (2005)}
{title: Nacho Libre, year: (2006)}
{title: Lake House, The, year: (2006)}
{title: Click, year: (2006)}
{title: Seventh Victim, The, year: (1943)}
{title: Ace of Hearts, The, year: (1921)}
{title: Devil Wears Prada, The, year: (2006)}
{title: Pirates of the Caribbean: Dead Man's Chest, year: (2006)}
{title: You, Me and Dupree, year: (2006)}
{title: Clerks II, year: (2006)}
{title: Lady in the Water, year: (2006)}
{title: My Super Ex-Girlfriend, year: (2006)}
{title: See No Evil, year: (2006)}
{title: Marie Antoinette, year: (2006)}
45928::Who Killed the Electric Car? (2006)::Documentary
{title: Inconvenient Truth, An, year: (2006)}
{title: Hollow Man II, year: (2006)}
{title: Mountain Patrol (Kekexili), year: (2004)}
{title: High School Musical, year: (2006)}
{title: Adam & Steve, year: (2005)}
{title: Stoned, year: (2005)}
{title: Marked Woman, year: (1937)}
{title: Fearless (Huo Yuan Jia), year: (2006)}
{title: Fast and the Furious: Tokyo Drift, The, year: (2006)}
{title: Garfield: A Tail of Two Kitties, year: (2006)}
{title: Metal: A Headbanger's Journey, year: (2005)}
{title: Waist Deep, year: (2006)}
{title: Superman Returns, year: (2006)}
{title: Road to Guantanamo, The, year: (2006)}
{title: Edmond, year: (2005)}
{title: OH in Ohio, The, year: (2006)}
{title: Little Miss Sunshine, year: (2006)}
{title: Brothers of the Head, year: (2005)}
{title: 300 Spartans, The, year: (1962)}
{title: Fallen Idol, The, year: (1948)}
{title: Babel, year: (2006)}
{title: Strangers with Candy, year: (2005)}
{title: Young Mr. Lincoln, year: (1939)}
{title: Three Times (Zui Hao De Shi Guang), year: (2005)}
{title: Wordplay, year: (2006)}
{title: Army of Shadows (Armée des ombres, L'), year: (1969)}
{title: Little Man, year: (2006)}
{title: Purple Plain, The, year: (1954)}
{title: End of the Spear, year: (2005)}
{title: Monster House, year: (2006)}
{title: Color Me Kubrick: A True...ish Story (Colour Me Kubrick), year: (2005)}
{title: Snakes on a Plane, year: (2006)}
{title: Scoop, year: (2006)}
{title: Talladega Nights: The Ballad of Ricky Bobby, year: (2006)}
{title: Night at the Museum, year: (2006)}
{title: World Trade Center, year: (2006)}
{title: Stranger Than Fiction, year: (2006)}
{title: Miami Vice, year: (2006)}
{title: Groomsmen, The, year: (2006)}
{title: Shadowboxer, year: (2005)}
{title: Pursuit of Happyness, The, year: (2006)}
{title: Tears of the Black Tiger (Fah talai jone), year: (2000)}
{title: John Tucker Must Die, year: (2006)}
{title: Ant Bully, The, year: (2006)}
{title: Mrs. Palfrey at the Claremont, year: (2005)}
{title: Crank, year: (2006)}
{title: Secret Life of Words, The, year: (2005)}
{title: Chaos, year: (2005)}
{title: Night Listener, The, year: (2006)}
{title: Barnyard: The Original Party Animals, year: (2006)}
{title: Murmur of the Heart (Le Souffle au coeur), year: (1971)}
{title: Canterbury Tale, A, year: (1944)}
{title: Dirty Mary Crazy Larry, year: (1974)}
{title: Step Up, year: (2006)}
{title: Zoom, year: (2006)}
{title: Bon Cop, Bad Cop, year: (2006)}
{title: Half Nelson, year: (2006)}
{title: La Moustache, year: (2005)}
{title: Tideland, year: (2005)}
{title: Cabin in the Sky, year: (1943)}
{title: Material Girls, year: (2006)}
{title: Accepted, year: (2006)}
{title: 7 Men from Now, year: (1956)}
{title: Illusionist, The, year: (2006)}
{title: Adventures of Don Juan, year: (1948)}
{title: Queen, The, year: (2006)}
47634::36 Quai des Orfèvres (Department 36) (2004)::Action|Crime
{title: Beerfest, year: (2006)}
{title: How to Eat Fried Worms, year: (2006)}
{title: Invincible, year: (2006)}
{title: Idlewild, year: (2006)}
{title: Red Balloon, The (Le Ballon rouge), year: (1956)}
{title: Way Out West, year: (1937)}
{title: Angel-A, year: (2005)}
{title: Green for Danger, year: (1946)}
47778::Quinceañera (2006)::Drama
{title: Puffy Chair, The, year: (2006)}
{title: Lassie, year: (2005)}
{title: Wicker Man, The, year: (2006)}
{title: Crossover, year: (2006)}
{title: Quiet, The, year: (2005)}
{title: Sketches of Frank Gehry, year: (2005)}
{title: Wind That Shakes the Barley, The, year: (2006)}
{title: Fateless (Sorstalanság), year: (2005)}
{title: Severance, year: (2006)}
{title: Time To Leave (Temps qui reste, Le), year: (2005)}
{title: Hollywoodland, year: (2006)}
{title: Covenant, The, year: (2006)}
{title: Jesse James, year: (1939)}
{title: Last Kiss, The, year: (2006)}
{title: Trust the Man, year: (2005)}
{title: SherryBaby, year: (2006)}
{title: Idiocracy, year: (2006)}
{title: Jesus Camp, year: (2006)}
{title: Tiger and the Snow, The (La Tigre e la neve), year: (2005)}
{title: Fountain, The, year: (2006)}
{title: Snoopy Come Home, year: (1972)}
48082::Science of Sleep, The (Science des rêves, la) (2006)::Comedy|Drama|Fantasy|Romance
{title: Long Voyage Home, The, year: (1940)}
{title: Black Dahlia, The, year: (2006)}
{title: Woods, The, year: (2006)}
{title: Everyone's Hero, year: (2006)}
{title: Gridiron Gang, year: (2006)}
{title: Streamers, year: (1983)}
{title: Land of Plenty (Angst and Alienation in America), year: (2004)}
{title: Taxidermia, year: (2006)}
{title: Bridge, The, year: (2006)}
{title: Private Life of Henry VIII, The, year: (1933)}
{title: Apocalypto, year: (2006)}
{title: Flyboys, year: (2006)}
{title: Jackass Number Two, year: (2006)}
{title: All The King's Men, year: (2006)}
{title: Conversations with Other Women, year: (2005)}
{title: Father Sergius (Otets Sergiy), year: (1917)}
{title: Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan, year: (2006)}
{title: Pan's Labyrinth (El Laberinto del fauno), year: (2006)}
{title: Guardian, The, year: (2006)}
{title: Open Season, year: (2006)}
{title: School for Scoundrels, year: (2006)}
{title: Departed, The, year: (2006)}
{title: Texas Chainsaw Massacre: The Beginning, The, year: (2006)}
{title: Employee of the Month, year: (2006)}
{title: Stormbreaker (Alex Rider: Operation Stormbreaker), year: (2006)}
{title: Running With Scissors, year: (2006)}
{title: Dillinger, year: (1945)}
{title: Ellie Parker, year: (2005)}
{title: Grudge 2, The, year: (2006)}
{title: Man of the Year, year: (2006)}
{title: Marine, The, year: (2006)}
{title: Infamous, year: (2006)}
{title: One Night with the King, year: (2006)}
{title: Chapayev, year: (1934)}
{title: Feast, year: (2005)}
{title: Offside, year: (2006)}
{title: Little Children, year: (2006)}
{title: Deliver Us from Evil, year: (2006)}
{title: Facing the Giants, year: (2006)}
{title: Last King of Scotland, The, year: (2006)}
{title: U.S. vs. John Lennon, The, year: (2006)}
{title: Shortbus, year: (2006)}
{title: Children of Men, year: (2006)}
{title: Prestige, The, year: (2006)}
{title: Flags of Our Fathers, year: (2006)}
{title: Flicka, year: (2006)}
{title: Guide to Recognizing Your Saints, A, year: (2006)}
{title: 13 Tzameti, year: (2005)}
{title: Saw III, year: (2006)}
{title: Catch a Fire, year: (2006)}
{title: Death of a President, year: (2006)}
{title: Man of Straw (Untertan, Der), year: (1951)}
{title: 5 Fingers, year: (1952)}
{title: Butterfly Effect 2, The, year: (2006)}
{title: Flushed Away, year: (2006)}
{title: Perfume: The Story of a Murderer, year: (2006)}
{title: Arabesque, year: (1966)}
{title: Santa Clause 3: The Escape Clause, The, year: (2006)}
{title: Hi Tessa (Czesc Tereska), year: (2001)}
{title: Mom and Dad Save the World, year: (1992)}
{title: Good Year, A, year: (2006)}
{title: Shut Up & Sing, year: (2006)}
{title: Foreign Affair, A, year: (1948)}
{title: Return, The, year: (2006)}
{title: For Your Consideration, year: (2006)}
{title: Fuck, year: (2005)}
{title: Shooting Dogs (a.k.a. Beyond The Gates), year: (2005)}
{title: Casino Royale, year: (2006)}
{title: Happy Feet, year: (2006)}
{title: Let's Go to Prison, year: (2006)}
49278::Deja Vu (Déjà Vu) (2006)::Action|Romance|Sci-Fi|Thriller
{title: Bobby, year: (2006)}
{title: Deck the Halls, year: (2006)}
{title: 10 Items or Less, year: (2006)}
{title: Holiday, The, year: (2006)}
{title: Snow Cake, year: (2006)}
{title: Harsh Times, year: (2006)}
{title: Fast Food Nation, year: (2006)}
49355::Bête Humaine, La (1938)::Drama|Film-Noir
{title: Tenacious D in The Pick of Destiny, year: (2006)}
{title: OSS 117: Cairo, Nest of Spies (OSS 117: Le Caire nid d'espions), year: (2006)}
{title: Nativity Story, The, year: (2006)}
{title: Van Wilder 2: The Rise of Taj, year: (2006)}
{title: Turistas, year: (2006)}
{title: Blood Diamond, year: (2006)}
{title: Dracula's Daughter, year: (1936)}
{title: Unaccompanied Minors, year: (2006)}
{title: Off the Black, year: (2006)}
{title: Charlotte's Web, year: (2006)}
{title: Eragon, year: (2006)}
{title: Rocky Balboa, year: (2006)}
{title: Fur: An Imaginary Portrait of Diane Arbus, year: (2006)}
{title: Dam Busters, The, year: (1955)}
{title: Painted Veil, The, year: (2006)}
{title: We Are Marshall, year: (2006)}
{title: Plague Dogs, The, year: (1982)}
{title: Good Shepherd, The, year: (2006)}
{title: Dreamgirls, year: (2006)}
{title: Page Turner, The (Tourneuse de pages, La), year: (2006)}
{title: Freedom Writers, year: (2007)}
{title: Inland Empire, year: (2006)}
{title: History Boys, The, year: (2006)}
{title: Notes on a Scandal, year: (2006)}
{title: DOA: Dead or Alive, year: (2006)}
{title: Curse of the Golden Flower (Man cheng jin dai huang jin jia), year: (2006)}
{title: Bothersome Man, The (Den Brysomme mannen), year: (2006)}
{title: Good German, The, year: (2006)}
{title: Sweet Land, year: (2005)}
{title: Letters from Iwo Jima, year: (2006)}
{title: Black Christmas, year: (2006)}
{title: Happily N'Ever After, year: (2007)}
{title: Home of the Brave, year: (2007)}
{title: Code Name: The Cleaner, year: (2007)}
{title: Stomp the Yard, year: (2007)}
{title: Miss Potter, year: (2006)}
{title: Arthur and the Invisibles, year: (2007)}
{title: American Pie 5: The Naked Mile, year: (2006)}
{title: Young Girls of Rochefort, The (Demoiselles de Rochefort, Les), year: (1967)}
{title: David and Bathsheba, year: (1951)}
{title: Old Joy, year: (2006)}
{title: Venus, year: (2006)}
{title: Rosario Tijeras, year: (2005)}
{title: Return of Don Camillo, The (Le Retour de Don Camillo), year: (1956)}
{title: Little World of Don Camillo, The (Le Petit monde de Don Camillo), year: (1953)}
{title: Primeval, year: (2007)}
{title: Alpha Dog, year: (2007)}
{title: Hitcher, The, year: (2007)}
{title: Dead Girl, The, year: (2006)}
{title: Testament of Orpheus, The (Testament d'Orphée), year: (1960)}
{title: After the Wedding (Efter brylluppet), year: (2006)}
{title: Linda Linda Linda, year: (2005)}
{title: Daisies (Sedmikrasky), year: (1966)}
{title: Bridge to Terabithia, year: (2007)}
50619::Blood of a Poet, The (Sang d'un poète, Le) (1930)::Drama|Fantasy
{title: 49 Up, year: (2005)}
{title: Waitress, year: (2007)}
{title: Catch and Release, year: (2006)}
{title: Smokin' Aces, year: (2006)}
{title: Blood and Chocolate, year: (2007)}
{title: Epic Movie, year: (2007)}
{title: Messengers, The, year: (2007)}
{title: Because I Said So, year: (2007)}
{title: Hannibal Rising, year: (2007)}
{title: Norbit, year: (2007)}
50842::Boss of It All, The (Direktøren for det hele) (2006)::Comedy|Drama
{title: Cocaine Cowboys, year: (2006)}
{title: Lonely Hearts, year: (2006)}
{title: Ratatouille, year: (2007)}
{title: Lola, year: (1961)}
{title: Paris, I Love You (Paris, je t'aime), year: (2006)}
{title: Astronaut Farmer, The, year: (2007)}
{title: Mafioso, year: (1962)}
{title: Myra Breckinridge, year: (1970)}
51007::Days of Glory (Indigènes) (2006)::Action|Adventure|Drama|War
{title: Strange Case of Dr. Jekyll and Mr. Hyde, The, year: (1968)}
{title: Unknown, year: (2006)}
{title: Ghost Rider, year: (2007)}
{title: Breach, year: (2007)}
{title: Daddy's Little Girls, year: (2007)}
{title: Music and Lyrics, year: (2007)}
{title: Number 23, The, year: (2007)}
{title: Reno 911!: Miami, year: (2007)}
{title: Black Snake Moan, year: (2006)}
{title: Gray Matters, year: (2006)}
{title: loudQUIETloud: A Film About the Pixies, year: (2006)}
{title: Factory Girl, year: (2006)}
{title: Fighting Elegy (Kenka erejii), year: (1966)}
{title: Hot Fuzz, year: (2007)}
{title: 36th Chamber of Shaolin, The (a.k.a. Master Killer) (Shao Lin san shi liu fang), year: (1978)}
{title: Karla, year: (2006)}
{title: Golden Door (Nuovomondo), year: (2006)}
51372::"Great Performances" Cats (1998)::Musical
{title: Next, year: (2007)}
{title: Breaking and Entering, year: (2006)}
{title: Amazing Grace, year: (2006)}
{title: 2001 Maniacs, year: (2005)}
{title: Zodiac, year: (2007)}
{title: Babylon 5: The Gathering, year: (1993)}
{title: Wild Hogs, year: (2007)}
{title: Westerner, The, year: (1940)}
{title: Ultimate Gift, The, year: (2006)}
{title: 300, year: (2007)}
{title: Abandoned, The, year: (2006)}
{title: Julius Caesar, year: (1953)}
{title: Starter for 10, year: (2006)}
{title: Last Mimzy, The, year: (2007)}
{title: Priceless (Hors de prix), year: (2006)}
{title: Host, The (Gwoemul), year: (2006)}
{title: Becoming Jane, year: (2007)}
{title: Taste of Honey, A, year: (1961)}
{title: Namesake, The, year: (2006)}
{title: I Think I Love My Wife, year: (2007)}
{title: Fugitive Kind, The, year: (1959)}
{title: Premonition, year: (2007)}
{title: Dead Silence, year: (2007)}
{title: Reign Over Me, year: (2007)}
{title: Pride, year: (2007)}
{title: Shooter, year: (2007)}
{title: Hills Have Eyes II, The, year: (2007)}
{title: TMNT (Teenage Mutant Ninja Turtles), year: (2007)}
{title: Italian, The (Italianetz), year: (2005)}
{title: Jindabyne, year: (2006)}
{title: Nomad, year: (2005)}
{title: Avenue Montaigne (Fauteuils d'orchestre), year: (2006)}
{title: Black Book (Zwartboek), year: (2006)}
{title: Quiet Duel, The (Shizukanaru ketto), year: (1949)}
{title: Darwin Awards, The, year: (2006)}
{title: Lookout, The, year: (2007)}
{title: Blades of Glory, year: (2007)}
52279::Are We Done Yet? (2007)::Comedy
{title: Grindhouse, year: (2007)}
{title: Reaping, The, year: (2007)}
{title: Firehouse Dog, year: (2007)}
{title: Meet the Robinsons, year: (2007)}
{title: Seraphim Falls, year: (2006)}
{title: Sunshine, year: (2007)}
{title: Judge Priest, year: (1934)}
{title: Copying Beethoven, year: (2006)}
{title: Hoax, The, year: (2007)}
{title: Ulysses' Gaze (To Vlemma tou Odyssea), year: (1995)}
{title: How the Grinch Stole Christmas!, year: (1966)}
{title: Goya's Ghosts, year: (2006)}
{title: Perfect Stranger, year: (2007)}
{title: Disturbia, year: (2007)}
{title: Pathfinder, year: (2007)}
{title: Aqua Teen Hunger Force Colon Movie Film for Theaters, year: (2007)}
{title: Puccini For Beginners, year: (2006)}
{title: Summer Palace (Yihe yuan), year: (2006)}
{title: La Vie en Rose (La Mome), year: (2007)}
{title: Contract, The, year: (2006)}
{title: Fracture, year: (2007)}
{title: Big Nothing, year: (2006)}
{title: Vacancy, year: (2007)}
{title: Benny's Video, year: (1992)}
{title: In the Land of Women, year: (2007)}
{title: Mr. Bean's Holiday, year: (2007)}
{title: Invisible, The, year: (2007)}
{title: Kickin It Old Skool, year: (2007)}
{title: Condemned, The, year: (2007)}
{title: Spider-Man 3, year: (2007)}
{title: Lucky You, year: (2007)}
{title: 21 Up, year: (1977)}
{title: Year of the Dog, year: (2007)}
{title: Diggers, year: (2006)}
{title: Ex, The, year: (2007)}
